Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
10/17/1984,0,0.122684586,0.119455427,0.119455427,9868800,0,0
10/18/1984,0,0.129141281,0.122684635,0.122684635,5324800,0,0
10/19/1984,0,0.122684586,0.119455427,0.119455427,3043200,0,0
10/22/1984,0,0.122684586,0.119455427,0.119455427,2326400,0,0
10/23/1984,0,0.119455511,0.116227187,0.116227187,787200,0,0
10/24/1984,0,0.122684586,0.119455427,0.119455427,230400,0,0
10/25/1984,0,0.122684672,0.116227187,0.116227187,1587200,0,0
10/26/1984,0,0.119455511,0.116227187,0.116227187,758400,0,0
10/29/1984,0,0.119455511,0.116227187,0.116227187,614400,0,0
10/30/1984,0,0.122684672,0.116227187,0.116227187,192000,0,0
10/31/1984,0,0.122684586,0.119455427,0.119455427,297600,0,0
11/1/1984,0,0.119455511,0.116227187,0.116227187,352000,0,0
11/2/1984,0,0.119455511,0.116227187,0.116227187,1638400,0,0
11/5/1984,0,0.116227143,0.112998821,0.112998821,534400,0,0
11/6/1984,0,0.116227143,0.112998821,0.112998821,544000,0,0
11/7/1984,0,0.116227143,0.112998821,0.112998821,76800,0,0
11/8/1984,0,0.116227143,0.112998821,0.112998821,44800,0,0
11/9/1984,0,0.116227143,0.112998821,0.112998821,896000,0,0
11/12/1984,0,0.116227143,0.112998821,0.112998821,300800,0,0
11/13/1984,0,0.116227143,0.112998821,0.112998821,464000,0,0
11/14/1984,0,0.116227144,0.109770499,0.109770499,1523200,0,0
11/15/1984,0,0.112998822,0.109770499,0.109770499,156800,0,0
11/16/1984,0,0.112998794,0.103312992,0.103312992,579200,0,0
11/19/1984,0,0.112998794,0.103312992,0.103312992,358400,0,0
11/20/1984,0,0.106541337,0.100084692,0.100084692,179200,0,0
11/21/1984,0,0.106541337,0.100084692,0.100084692,905600,0,0
11/23/1984,0,0.106541337,0.100084692,0.100084692,25600,0,0
11/26/1984,0,0.106541313,0.103312992,0.103312992,166400,0,0
11/27/1984,0,0.10977048,0.106541321,0.106541321,147200,0,0
11/28/1984,0,0.10977048,0.106541321,0.106541321,492800,0,0
11/29/1984,0,0.10977048,0.106541321,0.106541321,262400,0,0
11/30/1984,0,0.10977048,0.106541321,0.106541321,556800,0,0
12/3/1984,0,0.109770472,0.103312992,0.103312992,380800,0,0
12/4/1984,0,0.106541337,0.100084692,0.100084692,217600,0,0
12/5/1984,0,0.106541337,0.100084692,0.100084692,102400,0,0
12/6/1984,0,0.103313038,0.096856385,0.096856385,630400,0,0
12/7/1984,0,0.100084715,0.096856385,0.096856385,86400,0,0
12/10/1984,0,0.100084715,0.096856385,0.096856385,2099200,0,0
12/11/1984,0,0.100084715,0.096856385,0.096856385,188800,0,0
12/12/1984,0,0.100084715,0.096856385,0.096856385,393600,0,0
12/13/1984,0,0.100084715,0.096856385,0.096856385,102400,0,0
12/14/1984,0,0.100084715,0.096856385,0.096856385,89600,0,0
12/17/1984,0,0.100084715,0.096856385,0.096856385,102400,0,0
12/18/1984,0,0.100084715,0.096856385,0.096856385,214400,0,0
12/19/1984,0,0.100084715,0.096856385,0.096856385,102400,0,0
12/20/1984,0,0.100084715,0.096856385,0.096856385,121600,0,0
12/21/1984,0,0.100084715,0.096856385,0.096856385,704000,0,0
12/24/1984,0,0.100084715,0.096856385,0.096856385,921600,0,0
12/26/1984,0,0.100084715,0.096856385,0.096856385,521600,0,0
12/27/1984,0,0.103313038,0.096856385,0.096856385,947200,0,0
12/28/1984,0,0.100084715,0.096856385,0.096856385,76800,0,0
12/31/1984,0,0.103313038,0.096856385,0.096856385,457600,0,0
1/2/1985,0,0.103313015,0.100084692,0.100084692,179200,0,0
1/3/1985,0,0.109770497,0.100084692,0.100084692,227200,0,0
1/4/1985,0,0.109770497,0.100084692,0.100084692,390400,0,0
1/7/1985,0,0.112998802,0.106541321,0.106541321,2652800,0,0
1/8/1985,0,0.125912907,0.119455427,0.119455427,1190400,0,0
1/9/1985,0,0.125912907,0.119455427,0.119455427,403200,0,0
1/10/1985,0,0.129141281,0.122684635,0.122684635,1062400,0,0
1/11/1985,0,0.132369603,0.122684635,0.122684635,188800,0,0
1/14/1985,0,0.132369547,0.125912905,0.125912905,131200,0,0
1/15/1985,0,0.1355988,0.129141316,0.129141316,320000,0,0
1/16/1985,0,0.132369639,0.129141316,0.129141316,134400,0,0
1/17/1985,0,0.132369639,0.129141316,0.129141316,441600,0,0
1/18/1985,0,0.1355988,0.129141316,0.129141316,556800,0,0
1/21/1985,0,0.1355988,0.129141316,0.129141316,112000,0,0
1/22/1985,0,0.1355988,0.129141316,0.129141316,441600,0,0
1/23/1985,0,0.1355988,0.129141316,0.129141316,156800,0,0
1/24/1985,0,0.151741243,0.145283759,0.145283759,1475200,0,0
1/25/1985,0,0.15819779,0.154969469,0.154969469,1110400,0,0
1/28/1985,0,0.15819779,0.154969469,0.154969469,908800,0,0
1/29/1985,0,0.161426949,0.154969469,0.154969469,1660800,0,0
1/30/1985,0,0.167883604,0.161426961,0.161426961,928000,0,0
1/31/1985,0,0.167883604,0.161426961,0.161426961,656000,0,0
2/1/1985,0,0.167883604,0.161426961,0.161426961,208000,0,0
2/4/1985,0,0.177569407,0.171111926,0.171111926,966400,0,0
2/5/1985,0,0.196940259,0.193711936,0.193711936,2320000,0,0
2/6/1985,0,0.203397707,0.200169384,0.200169384,1280000,0,0
2/7/1985,0,0.206626033,0.196940228,0.196940228,1113600,0,0
2/8/1985,0,0.222768468,0.219540134,0.219540134,4268800,0,0
2/11/1985,0,0.225997618,0.222768471,0.222768471,998400,0,0
2/12/1985,0,0.222768466,0.216311797,0.216311797,1472000,0,0
2/13/1985,0,0.222768466,0.216311797,0.216311797,611200,0,0
2/14/1985,0,0.216311755,0.213083446,0.213083446,355200,0,0
2/15/1985,0,0.216311837,0.209854379,0.209854379,304000,0,0
2/19/1985,0,0.209854348,0.203397691,0.203397691,784000,0,0
2/20/1985,0,0.206626029,0.200169384,0.200169384,473600,0,0
2/21/1985,0,0.206626029,0.200169384,0.200169384,281600,0,0
2/22/1985,0,0.213083464,0.206625983,0.206625983,809600,0,0
2/25/1985,0,0.209854317,0.206625983,0.206625983,496000,0,0
2/26/1985,0,0.213083464,0.206625983,0.206625983,672000,0,0
2/27/1985,0,0.213083464,0.206625983,0.206625983,1955200,0,0
2/28/1985,0,0.229225928,0.222768471,0.222768471,1049600,0,0
3/1/1985,0,0.232454286,0.225997642,0.225997642,467200,0,0
3/4/1985,0,0.232454286,0.225997642,0.225997642,556800,0,0
3/5/1985,0,0.232454286,0.225997642,0.225997642,441600,0,0
3/6/1985,0,0.232454286,0.225997642,0.225997642,496000,0,0
3/7/1985,0,0.229225925,0.219540134,0.219540134,531200,0,0
3/8/1985,0,0.229225925,0.219540134,0.219540134,19200,0,0
3/11/1985,0,0.225997613,0.216311797,0.216311797,246400,0,0
3/12/1985,0,0.225997613,0.216311797,0.216311797,4275200,0,0
3/13/1985,0,0.216311837,0.209854379,0.209854379,486400,0,0
3/14/1985,0,0.213083464,0.206625983,0.206625983,195200,0,0
3/15/1985,0,0.209854317,0.206625983,0.206625983,124800,0,0
3/18/1985,0,0.206626029,0.200169384,0.200169384,153600,0,0
3/19/1985,0,0.206626029,0.200169384,0.200169384,604800,0,0
3/20/1985,0,0.206626029,0.200169384,0.200169384,547200,0,0
3/21/1985,0,0.206626029,0.200169384,0.200169384,204800,0,0
3/22/1985,0,0.206626029,0.200169384,0.200169384,192000,0,0
3/25/1985,0,0.206626029,0.200169384,0.200169384,355200,0,0
3/26/1985,0,0.203397707,0.200169384,0.200169384,300800,0,0
3/27/1985,0,0.203397711,0.196940228,0.196940228,76800,0,0
3/28/1985,0,0.203397711,0.196940228,0.196940228,96000,0,0
3/29/1985,0,0.20016942,0.193711936,0.193711936,144000,0,0
4/1/1985,0,0.193711924,0.187255278,0.187255278,838400,0,0
4/2/1985,0,0.180797741,0.174341097,0.174341097,384000,0,0
4/3/1985,0,0.177569419,0.174341097,0.174341097,835200,0,0
4/4/1985,0,0.16465541,0.158197924,0.158197924,1017600,0,0
4/8/1985,0.158197924,0.158197924,0.158197924,0.158197924,0,0,0
4/9/1985,0,0.15819779,0.154969469,0.154969469,416000,0,0
4/10/1985,0,0.158197836,0.151741192,0.151741192,1862400,0,0
4/11/1985,0,0.174341132,0.167883649,0.167883649,1139200,0,0
4/12/1985,0,0.193711849,0.184026048,0.184026048,512000,0,0
4/15/1985,0,0.187255222,0.180797741,0.180797741,761600,0,0
4/16/1985,0,0.190483601,0.187255278,0.187255278,1414400,0,0
4/17/1985,0,0.196940199,0.190483555,0.190483555,816000,0,0
4/18/1985,0,0.196940199,0.190483555,0.190483555,332800,0,0
4/19/1985,0,0.196940199,0.190483555,0.190483555,89600,0,0
4/22/1985,0,0.203397707,0.200169384,0.200169384,6096000,0,0
4/23/1985,0,0.213083495,0.203397691,0.203397691,364800,0,0
4/24/1985,0,0.225997616,0.219540134,0.219540134,691200,0,0
4/25/1985,0,0.238911859,0.232454374,0.232454374,2662400,0,0
4/26/1985,0,0.235682602,0.229225934,0.229225934,1532800,0,0
4/29/1985,0,0.232454286,0.225997642,0.225997642,1600000,0,0
4/30/1985,0,0.232454262,0.222768471,0.222768471,393600,0,0
5/1/1985,0,0.225997618,0.222768471,0.222768471,400000,0,0
5/2/1985,0,0.229225928,0.222768471,0.222768471,540800,0,0
5/3/1985,0,0.232454286,0.225997642,0.225997642,368000,0,0
5/6/1985,0,0.232454286,0.225997642,0.225997642,329600,0,0
5/7/1985,0,0.232454286,0.225997642,0.225997642,208000,0,0
5/8/1985,0,0.232454286,0.225997642,0.225997642,387200,0,0
5/9/1985,0,0.235682621,0.225997642,0.225997642,1993600,0,0
5/10/1985,0,0.235682621,0.225997642,0.225997642,435200,0,0
5/13/1985,0,0.235682602,0.229225934,0.229225934,137600,0,0
5/14/1985,0,0.232454268,0.229225934,0.229225934,150400,0,0
5/15/1985,0,0.232454286,0.225997642,0.225997642,675200,0,0
5/16/1985,0,0.232454286,0.225997642,0.225997642,163200,0,0
5/17/1985,0,0.232454286,0.225997642,0.225997642,387200,0,0
5/20/1985,0,0.235682602,0.229225934,0.229225934,425600,0,0
5/21/1985,0,0.251825845,0.248596698,0.248596698,2787200,0,0
5/22/1985,0,0.255054118,0.251825809,0.251825809,1788800,0,0
5/23/1985,0,0.267968306,0.261510849,0.261510849,1129600,0,0
5/24/1985,0,0.274424966,0.267968297,0.267968297,1433600,0,0
5/28/1985,0,0.267968306,0.261510849,0.261510849,723200,0,0
5/29/1985,0,0.267968306,0.261510849,0.261510849,233600,0,0
5/30/1985,0,0.271196756,0.264740109,0.264740109,384000,0,0
5/31/1985,0,0.271196756,0.264740109,0.264740109,412800,0,0
6/3/1985,0,0.287339151,0.277654171,0.277654171,2524800,0,0
6/4/1985,0,0.290568329,0.287339181,0.287339181,1529600,0,0
6/5/1985,0,0.303482324,0.29379651,0.29379651,1433600,0,0
6/6/1985,0,0.290568267,0.284110785,0.284110785,1891200,0,0
6/7/1985,0,0.290568267,0.284110785,0.284110785,1001600,0,0
6/10/1985,0,0.300253177,0.29379651,0.29379651,1088000,0,0
6/11/1985,0,0.293796639,0.287339181,0.287339181,857600,0,0
6/12/1985,0,0.306710821,0.300253361,0.300253361,515200,0,0
6/13/1985,0,0.306710821,0.300253361,0.300253361,1315200,0,0
6/14/1985,0,0.30348251,0.300253361,0.300253361,617600,0,0
6/17/1985,0,0.303482327,0.297024846,0.297024846,512000,0,0
6/18/1985,0,0.293796577,0.284110785,0.284110785,969600,0,0
6/19/1985,0,0.287338995,0.280882329,0.280882329,252800,0,0
6/20/1985,0,0.274424908,0.271196574,0.271196574,649600,0,0
6/21/1985,0,0.280882481,0.277654171,0.277654171,428800,0,0
6/24/1985,0,0.277654054,0.271196574,0.271196574,236800,0,0
6/25/1985,0,0.277654057,0.274424911,0.274424911,198400,0,0
6/26/1985,0,0.284110816,0.277654171,0.277654171,515200,0,0
6/27/1985,0,0.287338995,0.280882329,0.280882329,198400,0,0
6/28/1985,0,0.297024998,0.290568352,0.290568352,259200,0,0
7/1/1985,0,0.293796577,0.284110785,0.284110785,140800,0,0
7/2/1985,0,0.300253177,0.29379651,0.29379651,732800,0,0
7/3/1985,0,0.297024975,0.287339181,0.287339181,444800,0,0
7/5/1985,0,0.290568267,0.284110785,0.284110785,92800,0,0
7/8/1985,0,0.284110816,0.277654171,0.277654171,396800,0,0
7/9/1985,0,0.280882366,0.274424911,0.274424911,256000,0,0
7/10/1985,0,0.277654054,0.271196574,0.271196574,217600,0,0
7/11/1985,0,0.290568141,0.280882329,0.280882329,326400,0,0
7/12/1985,0,0.293796639,0.287339181,0.287339181,963200,0,0
7/15/1985,0,0.297024975,0.287339181,0.287339181,617600,0,0
7/16/1985,0,0.300253177,0.29379651,0.29379651,716800,0,0
7/17/1985,0,0.309939157,0.300253361,0.300253361,755200,0,0
7/18/1985,0,0.306710821,0.300253361,0.300253361,432000,0,0
7/19/1985,0,0.313167359,0.30671069,0.30671069,988800,0,0
7/22/1985,0,0.313167271,0.309938937,0.309938937,726400,0,0
7/23/1985,0,0.309939028,0.303482383,0.303482383,1020800,0,0
7/24/1985,0,0.309939157,0.300253361,0.300253361,467200,0,0
7/25/1985,0,0.309939028,0.303482383,0.303482383,355200,0,0
7/26/1985,0,0.309939028,0.303482383,0.303482383,252800,0,0
7/29/1985,0,0.306710821,0.300253361,0.300253361,566400,0,0
7/30/1985,0,0.306710821,0.300253361,0.300253361,355200,0,0
7/31/1985,0,0.306710821,0.300253361,0.300253361,262400,0,0
